,Self-direction: thought,Self-direction: action,Stimulation,Hedonism,Achievement,Power: dominance,Power: resources,Face,Security: personal,Security: societal,Tradition,Conformity: rules,Conformity: interpersonal,Humility,Benevolence: caring,Benevolence: dependability,Universalism: concern,Universalism: nature,Universalism: tolerance,Universalism: objectivity
step,4.9949541822938404e-06,4.91724084569181e-06,7.101574958310056e-06,1.0973141475419468e-05,4.666966744946196e-06,0.0,0.0,1.1491463249699345e-05,4.373520788553794e-06,5.372241624621316e-06,3.7459377792105617e-06,3.635596589357658e-06,1.0204263328101492e-05,1.4109901419712184e-05,0.0,5.653120745979565e-06,3.1851881719942807e-06,0.0,1.2172808151542578e-05,6.852221091935451e-06
whilst,4.821570594411374e-06,9.49282799417898e-06,0.0,0.0,6.00655702557334e-06,0.0,0.0,0.0,6.332456729675169e-06,5.185773351766732e-06,0.0,7.018589115730097e-06,0.0,9.080826703820173e-06,2.8211557735360615e-06,1.0913458290115283e-05,6.149067006210694e-06,1.3142045616655468e-05,5.875597272541037e-06,1.3228344562544403e-05
bottom,7.758102604676443e-06,1.0183095071112846e-05,0.0,0.0,9.66479382449591e-06,0.0,3.571524841340458e-05,0.0,3.396481457239131e-06,8.344119609953515e-06,0.0,5.6467191890617975e-06,0.0,0.0,0.0,8.780393300882643e-06,1.3191964492834765e-05,0.0,0.0,7.095365989312126e-06
bodies,2.870179894595298e-06,5.273652515296321e-06,1.6324163203754568e-06,5.044064399847922e-06,3.5760679027995173e-07,3.262355552665165e-06,8.810632763932447e-07,1.3208431039367171e-06,1.759254108636562e-06,9.261897761861071e-07,1.7220568396760537e-06,1.6713337347872212e-06,0.0,5.405059249902293e-06,6.718180135162946e-07,1.949131728110218e-06,1.2202509128785678e-06,6.257772080893532e-06,2.098669222537572e-06,1.5750981447020016e-06
friends,1.5967024689636652e-05,7.859768264155459e-06,4.5393433880087204e-05,7.013090701101357e-05,9.94611962008425e-06,1.5124340544322572e-05,0.0,6.426632562508363e-05,2.446420439473311e-05,0.0,5.987545414281596e-06,0.0,0.0,0.0,2.802460630314144e-05,2.7104378472130297e-05,5.09123748362621e-06,0.0,2.918360242042088e-05,3.651084989508697e-06
amount,7.275374410011924e-06,7.162188066953595e-06,0.0,7.991910119336903e-06,7.930471377321321e-06,6.891405399772963e-06,1.1164804745204675e-05,0.0,8.758788052790245e-06,6.846875201932437e-06,2.7282249218366967e-06,2.6478617119263472e-06,0.0,1.3701182969910215e-05,5.3212344702803805e-06,4.117256028898543e-06,6.9589400781104864e-06,4.958022022793916e-06,4.4331435595503996e-06,1.6632106262143564e-05
forcing,5.165710881697223e-06,4.1438260975520835e-06,4.896422862723493e-06,0.0,1.0727807177737137e-06,3.262355552665165e-06,8.810632763932447e-07,3.961988438317021e-06,1.759254108636562e-06,1.234899998453175e-06,2.582970326317076e-06,4.178605032403047e-07,4.690674176617029e-06,1.0812534573711167e-06,1.0077095264299164e-06,6.49754209570358e-07,1.4642826272465682e-06,1.564822534710387e-06,3.4975291584263215e-06,1.050093922636712e-06
per,7.758102604676443e-06,1.0183095071112846e-05,0.0,0.0,9.66479382449591e-06,0.0,1.1906166940899615e-05,0.0,6.792874676991542e-06,1.668770669581038e-05,0.0,2.258541354917658e-05,0.0,0.0,9.078550470940825e-06,0.0,9.894098162226967e-06,0.0,0.0,2.837915374561447e-05
voters,3.3452710735429106e-05,2.6346598799457726e-05,0.0,0.0,4.1680023383855825e-06,7.603442718909051e-05,0.0,0.0,0.0,1.0794988400277404e-05,0.0,1.4610195185166702e-05,0.0,0.0,3.915176863590445e-06,1.5145607980966925e-05,1.137802288988596e-05,0.0,8.154105745247228e-06,1.2239124211394141e-05
solve,7.4922089900665935e-06,3.278224396300249e-06,7.101574958310056e-06,0.0,1.55545437096722e-05,9.462114223883775e-06,0.0,5.746123824966474e-06,9.839782747086421e-06,6.715194891080222e-06,0.0,3.635596589357658e-06,0.0,9.407126523417951e-06,1.1689344302493245e-05,2.826655287714908e-06,2.1234855650598727e-06,1.3613936360198993e-05,9.129936163049974e-06,6.852221091935451e-06
brainwashing,1.7874186071371312e-05,5.865592727968652e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.91275714556823e-06,0.0,0.0,6.505037973614715e-06,0.0,0.0,5.2293498958400435e-06,1.0115040244280999e-05,3.799439742388524e-06,0.0,1.0891122806256398e-05,8.173883568812367e-06
social,1.0328665002141954e-05,1.0168042863367285e-05,4.072800196972927e-05,2.5194064497959263e-05,7.5069681116120985e-06,1.1956595903921216e-05,2.642949149000865e-06,3.954705861006565e-05,1.807992587823883e-05,8.640991623384348e-06,3.4438072090084807e-06,1.2527970801146735e-05,3.0448808307701155e-05,8.646645911072683e-06,1.6110770250618956e-05,1.5582069484461337e-05,7.075313810828213e-06,0.0,1.6776620330844025e-05,6.823573996180812e-06
papers,8.937358199851363e-06,5.865592727968652e-06,0.0,0.0,5.567039077286933e-06,1.693079555046853e-05,1.3715941146989545e-05,0.0,0.0,4.806302489936878e-06,0.0,0.0,0.0,0.0,5.2293498958400435e-06,0.0,3.799439742388524e-06,0.0,0.0,8.173883568812367e-06
term,2.497551191464171e-06,3.278224396300249e-06,0.0,0.0,6.222507332061926e-06,1.8922101652014893e-05,7.665510246226098e-06,0.0,1.3119199178542455e-05,1.0743797598935876e-05,3.7459377792105617e-06,3.635596589357658e-06,1.0204263328101492e-05,9.407126523417951e-06,4.383884581905687e-06,1.41313783990805e-05,7.431730793956152e-06,0.0,2.130010436483736e-05,6.852221091935451e-06
criticisms,1.5516205209352886e-05,1.0183293363262897e-05,0.0,0.0,9.664972444889495e-06,0.0,0.0,0.0,0.0,8.344252749467355e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4190731978624252e-05
heard,7.98398605943824e-06,2.6200247878952043e-06,0.0,0.0,4.9732436230163135e-06,3.024528159647349e-05,0.0,2.755022895284371e-05,5.243078508170444e-06,4.293660102164785e-06,0.0,2.9056502091942082e-06,0.0,7.518643925998386e-06,4.6715785205271165e-06,9.03600625371398e-06,8.485181759894652e-06,0.0,4.864812993977621e-06,7.3019718358694236e-06
introduces,1.5516205209352886e-05,1.0183293363262897e-05,0.0,6.81713814338497e-05,0.0,2.9393663344839132e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.890814854270337e-05,0.0
sponsored,1.1750214077103611e-05,7.711671469526653e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3189906808271015e-06,1.7623490952123536e-05,1.710436941950988e-05,0.0,0.0,0.0,1.3298548140410977e-05,4.995237893325461e-06,0.0,0.0,0.0
affordable,5.717454695657766e-06,7.5045907095336445e-06,0.0,2.5119981311764057e-05,7.122620523363509e-06,0.0,4.3864188226591965e-05,0.0,2.5027973897880302e-05,6.149329066143284e-06,0.0,0.0,0.0,0.0,1.672557729666366e-05,1.2941260969819392e-05,4.861134601207322e-06,1.558393659289945e-05,0.0,5.2290406121401016e-06
preventing,1.1975623789129406e-05,1.5718618348973967e-05,3.4047946635420436e-05,1.7539582020301853e-05,4.9732436230163135e-06,1.5124340544322572e-05,1.2252630296649602e-05,0.0,6.99068054122597e-06,1.7172996412939657e-05,0.0,2.9056502091942082e-06,0.0,0.0,9.342832659668664e-06,9.03600625371398e-06,1.3575777148265603e-05,0.0,9.72927421723289e-06,0.0
defender,1.1434570126832576e-05,1.500859692660327e-05,1.6257097444378013e-05,0.0,7.122620523363509e-06,0.0,8.774435393842127e-06,0.0,1.0011969746419696e-05,9.223846426615637e-06,8.575291516981302e-06,4.161437762256645e-06,0.0,0.0,3.345347746910866e-06,0.0,1.4582668073167845e-05,0.0,0.0,5.2290406121401016e-06
aired,1.3475557300334211e-05,0.0,0.0,0.0,8.393862302668747e-06,0.0,0.0,0.0,0.0,7.246839967425782e-06,0.0,9.808156951318443e-06,5.5057183874944965e-05,0.0,0.0,1.5251241066880598e-05,0.0,0.0,0.0,0.0
reflection,2.57718590054935e-05,0.0,0.0,0.0,1.6053171750495306e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sensitively,1.8013756400817058e-05,1.182243747932007e-05,0.0,0.0,1.122068552805056e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.3111275929022171e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
recruitment,1.0255653796140615e-05,6.73079079768862e-06,0.0,0.0,0.0,0.0,0.0,2.3595214712721866e-05,4.4899042620883764e-06,5.515251070181008e-06,0.0,7.464556739960373e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.2497606390451562e-05,9.379563644779963e-06
property,2.3510376818633436e-05,8.285878055237627e-06,3.2645572436478994e-06,2.522360931965183e-06,1.6436246522020154e-05,6.52361137311578e-06,2.1123404242724412e-05,1.4519365341680775e-05,2.5131222345572817e-06,1.543600370207152e-06,8.610667354484237e-07,2.0891220577730305e-06,0.0,1.0812534573711167e-06,3.694421884379305e-06,1.2994647836521803e-06,5.367953141362771e-06,3.1293920052109364e-06,4.196883284565714e-06,5.249330188338656e-06
coming,1.1975623789129406e-05,5.23994753996961e-06,0.0,0.0,4.9732436230163135e-06,7.562595304221818e-06,0.0,9.18466333023902e-06,6.99068054122597e-06,2.146864306093425e-06,5.987545414281596e-06,0.0,0.0,7.518643925998386e-06,7.007246134948076e-06,4.5181548395283355e-06,6.788231024935497e-06,0.0,1.459338372066451e-05,7.3019718358694236e-06
potential,4.5918791961432675e-06,1.5070512219508607e-06,0.0,2.522360931965183e-06,4.647857547839825e-06,3.262355552665165e-06,4.4045142120909055e-06,3.961988438317021e-06,2.76439855626837e-06,2.7783033646420222e-06,8.610667354484237e-07,2.924644581806224e-06,7.03515869063641e-06,1.0812534573711167e-06,3.35862364065934e-06,3.897870842313438e-06,3.660291103310092e-06,3.1293920052109364e-06,1.3991633981652907e-06,2.625021125791473e-06
realization,3.352996161016995e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
make,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cared,1.7874186071371312e-05,5.865592727968652e-06,2.5412619930445974e-05,7.852340723262689e-05,1.1133872383327905e-05,0.0,1.3715941146989545e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2293498958400435e-06,1.0115040244280999e-05,0.0,2.4360354547328895e-05,0.0,0.0
room,3.2199035041935948e-06,2.1132243059557394e-06,0.0,0.0,2.005662997062934e-06,6.099736264643123e-06,0.0,7.408042046454795e-06,2.8192977188531526e-06,3.4631225365986676e-06,0.0,4.687099202577021e-06,0.0,6.064286553949117e-06,1.1303031784432806e-05,1.093184326956322e-05,8.212532766537869e-06,8.77641795442944e-06,7.847306960665062e-06,5.889526097712903e-06
studies,1.1975623789129406e-05,1.0479486968428878e-05,0.0,1.7539582020301853e-05,1.4918628045580047e-05,7.562595304221818e-06,6.126594099019492e-06,9.18466333023902e-06,1.3980634721379254e-05,0.0,0.0,5.811174923298865e-06,0.0,0.0,9.342832659668664e-06,4.5181548395283355e-06,5.09123748362621e-06,0.0,4.864812993977621e-06,1.4603151185104353e-05
thinks,1.5516205209352886e-05,1.0183293363262897e-05,0.0,0.0,9.664972444889495e-06,0.0,0.0,3.569818177551079e-05,6.792962914478262e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
retribution,1.0255653796140615e-05,6.73079079768862e-06,0.0,0.0,0.0,0.0,0.0,2.3595214712721866e-05,0.0,5.515251070181008e-06,0.0,7.464556739960373e-06,4.190160037372904e-05,0.0,6.000699637563077e-06,0.0,0.0,0.0,1.2497606390451562e-05,0.0
everywhere,6.691336158919883e-06,0.0,1.9026246775731696e-05,2.9398788133897228e-05,4.1680023383855825e-06,0.0,0.0,1.539477799495617e-05,2.929453288517436e-06,7.196773760993973e-06,0.0,4.870275402939424e-06,0.0,0.0,7.83021779064483e-06,0.0,5.689154958261195e-06,0.0,8.154105745247228e-06,0.0
website,1.8013756400817058e-05,1.182243747932007e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.657988014859722e-06,0.0,0.0,1.647492963409209e-05
weapons,1.8190054949475106e-06,1.0742654645564391e-05,0.0,0.0,4.531949162065531e-06,8.259478514014204e-05,1.1164804745204675e-05,1.2553261149748363e-05,6.370275869471422e-06,8.011043663853985e-05,2.7282249218366967e-06,2.382252525257078e-05,0.0,1.7125522032746867e-05,1.4897129298220017e-05,2.2638067562225284e-05,5.6399226746320924e-05,8.912192994340046e-05,2.2166519219357256e-06,2.6607039994512416e-05
ever,7.275374410011924e-06,4.77497798131706e-06,1.0343503080797146e-05,1.5981737113381544e-05,7.930471377321321e-06,1.3781261821020907e-05,5.582910695531082e-06,4.184991622187844e-06,7.962638004324331e-06,4.890781197304482e-06,8.18394640800174e-06,0.0,0.0,6.851356999706648e-06,7.449469636662702e-06,2.058697142324266e-06,4.639468918963817e-06,0.0,1.3297507730372509e-05,4.990579517018329e-06
ninety,1.5516205209352886e-05,1.0183293363262897e-05,0.0,0.0,9.664972444889495e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.890814854270337e-05,1.4190731978624252e-05
losses,8.937358199851363e-06,5.865592727968652e-06,0.0,0.0,2.226692174234727e-05,0.0,4.114407665540048e-05,0.0,1.56504187042856e-05,0.0,0.0,0.0,0.0,0.0,5.2293498958400435e-06,2.0229401193659222e-05,7.598783637354771e-06,0.0,0.0,8.173883568812367e-06
feeds,1.8013756400817058e-05,1.182243747932007e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0387441889480194e-05,7.657988014859722e-06,0.0,0.0,0.0
debilitating,2.57718590054935e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1282867176566638e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
behaviour,6.691336158919883e-06,4.39152732121746e-06,0.0,0.0,0.0,2.5350506232861704e-05,0.0,3.0787454457153335e-05,0.0,7.196773760993973e-06,1.0035962024226343e-05,1.4610195185166702e-05,0.0,0.0,3.915176863590445e-06,1.5145607980966925e-05,1.137802288988596e-05,0.0,8.154105745247228e-06,0.0
looking,5.456692687142377e-06,2.387581968658392e-06,1.5513946053178324e-05,0.0,9.063228388186855e-06,6.891405399772963e-06,0.0,4.184991622187844e-06,3.981577556233586e-06,4.890781197304482e-06,2.7282249218366967e-06,9.266515482615966e-06,7.4319241700212675e-06,6.851356999706648e-06,2.128604638825655e-06,1.0292103339848095e-05,7.732935857087634e-07,4.958022022793916e-06,0.0,4.990579517018329e-06
stifle,5.361619553261378e-05,1.7596092902153512e-05,2.5412619930445974e-05,3.926682114810864e-05,1.1133872383327905e-05,0.0,0.0,2.056220791787607e-05,3.91275714556823e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.267100594767718e-05,8.173883568812367e-06
group,1.0912414173309808e-05,5.96860626320396e-06,2.5852216332992196e-05,0.0,5.664831767351592e-06,1.0336527189194328e-05,0.0,1.2553261149748363e-05,1.1147114135187875e-05,8.802844388004035e-06,1.0911443058736747e-05,9.266515482615966e-06,2.229036900243829e-05,1.3701182969910215e-05,6.385370523890541e-06,2.058697142324266e-06,1.0051295297790078e-05,0.0,2.215930920553278e-05,9.980346655052327e-06
threaten,1.5516205209352886e-05,1.0183293363262897e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7560786601765285e-05,6.596231840014161e-06,4.2292168633817774e-05,0.0,0.0
initial,5.717454695657766e-06,3.7523684220129125e-06,0.0,0.0,3.5613760802239982e-06,0.0,8.774435393842127e-06,0.0,2.5030899752087377e-06,9.223846426615637e-06,8.575291516981302e-06,4.161437762256645e-06,0.0,1.0768112643293047e-05,3.345347746910866e-06,0.0,7.291609930864365e-06,0.0,0.0,5.2290406121401016e-06
yet,7.4922089900665935e-06,1.6391441160571727e-06,7.101574958310056e-06,0.0,1.0888784169325951e-05,0.0,3.832929640694709e-06,5.746123824966474e-06,7.653363156969651e-06,1.3431246954473304e-06,0.0,5.453277122177549e-06,0.0,2.351387506862209e-05,1.3150284090912263e-05,1.41313783990805e-05,7.431730793956152e-06,1.3613936360198993e-05,9.129936163049974e-06,1.8270111043028637e-05
value,4.716602563230058e-06,2.3217477182941278e-06,3.3531132546002784e-06,1.036091037873071e-05,6.609998431308153e-06,2.2339638780489625e-06,1.0856173805228108e-05,0.0,5.678295006196331e-06,6.340850614179803e-06,1.7686997169101019e-06,8.583187845529175e-07,0.0,6.662197857417102e-06,1.3799677555800214e-06,1.3346469433983558e-06,2.5064926507045305e-06,3.214270230420009e-06,1.4370485349047136e-06,9.704551640606366e-06
educate,3.102964851787793e-05,2.0365397035371525e-05,0.0,0.0,1.4496922819299432e-05,0.0,0.0,0.0,1.0189179663870797e-05,0.0,2.32708555267828e-05,5.6467191890617975e-06,0.0,0.0,1.3617589304964328e-05,8.780393300882643e-06,3.2981159200070803e-06,0.0,0.0,7.095365989312126e-06
shortage,1.3382275264811262e-05,8.782883616154235e-06,1.9026246775731696e-05,0.0,4.1680023383855825e-06,1.2675965529502225e-05,0.0,0.0,1.1717356542782846e-05,7.196773760993973e-06,0.0,0.0,0.0,0.0,1.1745122790552303e-05,7.573058282100956e-06,0.0,0.0,8.154105745247228e-06,1.2239124211394141e-05
brought,6.4396159445387345e-06,4.226366313233395e-06,9.155522486067955e-06,1.4146839836344586e-05,8.022207205142669e-06,1.2198786896016457e-05,4.941505753147417e-06,0.0,8.457453732234419e-06,5.194600921588312e-06,4.82935373777074e-06,4.687099202577021e-06,0.0,0.0,5.651810211338722e-06,0.0,4.106421758870084e-06,0.0,3.92379534357826e-06,5.889526097712903e-06
overt,1.5516205209352886e-05,1.0183293363262897e-05,0.0,0.0,9.664972444889495e-06,0.0,0.0,0.0,0.0,8.344252749467355e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4190731978624252e-05
isolating,1.0255653796140615e-05,6.73079079768862e-06,0.0,0.0,1.2776162487895022e-05,0.0,0.0,0.0,4.4899042620883764e-06,0.0,1.5381883317052502e-05,7.464556739960373e-06,0.0,0.0,6.000699637563077e-06,0.0,4.3598720948526405e-06,0.0,0.0,0.0
allow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
peaceful,1.3382275264811262e-05,1.3174068898105868e-05,1.9026246775731696e-05,0.0,1.2503544848114917e-05,0.0,0.0,0.0,8.788131555967383e-06,2.878433947763491e-05,0.0,4.870275402939424e-06,0.0,0.0,0.0,7.573058282100956e-06,2.559893716745541e-05,0.0,4.076463341056957e-05,6.1197281634862645e-06
believe,4.946858158874035e-05,2.7843085570870547e-05,2.01101980288328e-05,2.071642163768225e-05,2.938048522260391e-06,6.70113837280455e-06,0.0,1.3561882500187391e-05,1.1354967958348965e-05,2.536583040266852e-06,4.0640319156450485e-05,7.723534781055536e-06,9.635018688742511e-06,1.7760899992463112e-05,6.20910039615918e-06,2.6692042560247363e-06,6.5162234262609205e-06,0.0,2.4415703295864775e-05,1.186047522896934e-05
dire,6.691336158919883e-06,4.39152732121746e-06,0.0,0.0,4.1680023383855825e-06,1.2675965529502225e-05,1.0269027032170935e-05,0.0,1.1717356542782846e-05,3.5984442966777546e-06,1.0035962024226343e-05,0.0,2.733884150836441e-05,0.0,1.1745122790552303e-05,0.0,2.844613359270348e-06,0.0,0.0,0.0
dictatorship,2.0510699038428554e-05,1.3461319467413095e-05,2.916108163415575e-05,0.0,6.388199305605811e-06,1.9428154693601842e-05,0.0,0.0,0.0,1.103032613949813e-05,0.0,0.0,0.0,1.931524449005768e-05,0.0,0.0,0.0,0.0,0.0,9.379563644779963e-06
information,3.063792513085397e-05,1.0058948274002349e-05,0.0,2.071642163768225e-05,2.1291016871077482e-05,1.7864683217953428e-05,9.047223309578572e-06,5.425863694113322e-06,6.194423196763668e-06,8.242711332738311e-06,1.7686997169101019e-06,1.0297379446012036e-05,0.0,4.441713397175887e-06,2.137873903832271e-05,1.600985033723343e-05,3.0077532456745503e-06,6.428020646779303e-06,1.1493479589471035e-05,3.340685666997399e-05
problem,1.1481741408872576e-06,2.6371855962006504e-06,3.2645572436478994e-06,2.522360931965183e-06,3.21798534604221e-06,3.262355552665165e-06,8.810632763932447e-07,1.3208431039367171e-06,2.76439855626837e-06,3.704227210852033e-06,8.610667354484237e-07,3.7600949536330318e-06,0.0,4.324288953324172e-06,4.030208473094085e-06,1.949131728110218e-06,2.6843488751274266e-06,7.821582849635099e-06,4.196883284565714e-06,5.250612087654957e-07
behind,7.4922089900665935e-06,3.278224396300249e-06,0.0,0.0,7.777990428996101e-06,0.0,7.665510246226098e-06,1.1491463249699345e-05,8.74658714992662e-06,1.4772014726915161e-05,7.491542186136234e-06,1.272321433256392e-05,1.0204263328101492e-05,0.0,1.1689344302493245e-05,1.695708479448024e-05,7.431730793956152e-06,6.80751863847001e-06,6.086844162835424e-06,1.3703326762226561e-05
validity,1.1750214077103611e-05,7.711671469526653e-06,0.0,0.0,7.319153990584234e-06,2.2259426976641382e-05,0.0,0.0,0.0,6.3189906808271015e-06,0.0,0.0,0.0,0.0,0.0,2.6596203191348466e-05,0.0,0.0,0.0,2.1492318751380336e-05
allowing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
perpetuate,1.1750214077103611e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.144219697148111e-06,0.0,0.0,0.0,0.0,2.2130062326712137e-05,6.875183850326363e-06,0.0,9.990349773157302e-06,0.0,1.4318887265329305e-05,1.0746450978820823e-05
panders,1.8013756400817058e-05,1.182243747932007e-05,0.0,0.0,1.122068552805056e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.647492963409209e-05
oppress,8.937358199851363e-06,5.865592727968652e-06,0.0,0.0,5.567039077286933e-06,1.693079555046853e-05,0.0,0.0,0.0,0.0,1.3404645254752044e-05,0.0,0.0,1.6832399197242168e-05,0.0,0.0,7.598783637354771e-06,0.0,1.0891122806256398e-05,1.6347323543726995e-05
days,5.456692687142377e-06,3.5813032176730304e-06,0.0,2.3969482067788256e-05,4.531949162065531e-06,3.4458963657344857e-06,5.582910695531082e-06,1.6736539366967864e-05,6.370275869471422e-06,3.912687383053426e-06,0.0,9.266515482615966e-06,7.4319241700212675e-06,6.851356999706648e-06,4.2570614732808945e-06,8.233959109101061e-06,4.639468918963817e-06,0.0,1.3297507730372509e-05,3.3271432887426126e-06
acceptable,1.1792555951749196e-06,1.5478619516541946e-06,0.0,5.181130431183802e-06,0.0,2.2339638780489625e-06,1.80977420608993e-06,2.7131170301206743e-06,1.5487868285757562e-06,2.536583040266852e-06,1.7686997169101019e-06,2.5748451444541737e-06,4.818093284905772e-06,6.662197857417102e-06,2.069915699618807e-06,1.3346469433983558e-06,3.5090011970760693e-06,6.428020646779303e-06,2.8739931579834624e-06,1.078517579500241e-06
percent,1.1750214077103611e-05,7.711671469526653e-06,0.0,0.0,7.319153990584234e-06,0.0,0.0,0.0,5.144219697148111e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.990349773157302e-06,0.0,1.4318887265329305e-05,2.1492318751380336e-05
skills,3.63790305306096e-06,5.96860626320396e-06,5.1721878278597615e-06,7.991910119336903e-06,2.4917432792427885e-05,1.0336527189194328e-05,5.582910695531082e-06,4.184991622187844e-06,3.981577556233586e-06,2.9345623581955726e-06,2.7282249218366967e-06,1.3239594468804188e-06,0.0,0.0,5.3212344702803805e-06,4.117256028898543e-06,5.412645473445462e-06,0.0,4.4331435595503996e-06,4.990579517018329e-06
tv,3.3452710735429106e-05,1.3174068898105868e-05,3.8049283724914935e-05,8.81733796386368e-05,1.2503544848114917e-05,0.0,0.0,0.0,2.929453288517436e-06,0.0,1.0035962024226343e-05,4.870275402939424e-06,0.0,1.260229688363097e-05,0.0,7.573058282100956e-06,0.0,0.0,0.0,6.1197281634862645e-06
suicide,3.5375568684845554e-06,1.6246540479444504e-05,3.3531132546002784e-06,0.0,1.4690785588319945e-06,2.2339638780489625e-06,0.0,2.7131170301206743e-06,1.0838973783540313e-05,8.876624459616741e-06,1.9447044140716166e-05,2.0589425764757108e-05,2.889105280807846e-05,2.6635400823770908e-05,1.3795367201881556e-05,1.200859679381302e-05,1.2028282522781424e-05,1.2853962709638652e-05,1.0057158121879689e-05,5.392002653142226e-06
cost,1.1792555951749196e-06,2.3217477182941278e-06,1.0057642891826621e-05,1.036091037873071e-05,9.547069919989009e-06,8.934349102380455e-06,2.5321852810685687e-05,0.0,1.4450651678846226e-05,3.8047531527753103e-06,5.3056269588268755e-06,2.5748451444541737e-06,0.0,6.662197857417102e-06,8.27836948286939e-06,5.338050037132578e-06,6.5162234262609205e-06,3.214270230420009e-06,1.4370485349047136e-06,7.548394132252874e-06
box,1.3475557300334211e-05,0.0,3.831660412022371e-05,0.0,1.678741434785942e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.808156951318443e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.6421401734029825e-05,1.2324406601452229e-05
compromise,7.758102604676443e-06,5.0916466816314486e-06,0.0,0.0,9.66479382449591e-06,1.4696831672419566e-05,1.1906166940899615e-05,0.0,6.792874676991542e-06,4.1721263747336775e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.596148639350186e-06,0.0,9.454074271351686e-06,7.095365989312126e-06
treatments,1.7151346333763462e-05,7.5045907095336445e-06,0.0,2.5119981311764057e-05,2.1366282119400268e-05,2.1660901119900235e-05,0.0,0.0,4.0041638135969574e-05,0.0,8.575291516981302e-06,8.32269579193468e-06,0.0,0.0,2.0070344364949895e-05,1.2941260969819392e-05,2.4305979586170416e-06,0.0,0.0,3.13699876145057e-05
thats,6.4396159445387345e-06,4.226366313233395e-06,9.155522486067955e-06,0.0,6.016766594160441e-06,1.2198786896016457e-05,9.882561521706211e-06,1.481507282512477e-05,5.638448957865901e-06,3.4631225365986676e-06,9.658277683915192e-06,4.687099202577021e-06,0.0,1.2127895420389224e-05,5.651810211338722e-06,0.0,1.0949767488650513e-05,0.0,0.0,5.889526097712903e-06
wellbeing,1.5516205209352886e-05,0.0,0.0,0.0,1.932958764899182e-05,0.0,0.0,0.0,2.0378359327741593e-05,0.0,0.0,0.0,0.0,0.0,1.815710094188165e-05,1.7560786601765285e-05,0.0,0.0,0.0,0.0
tenant,2.1233659905010653e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1847182592665185e-05,1.545487614038024e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result,3.5375568684845554e-06,5.416989445086834e-06,0.0,0.0,6.609998431308153e-06,1.7864683217953428e-05,1.80977420608993e-06,8.138240093089918e-06,8.258801918915633e-06,1.3313450236558144e-05,1.0609837762036018e-05,1.1155253592199444e-05,4.818093284905772e-06,1.110242257843804e-05,5.519296148864934e-06,1.3342437493462033e-05,1.1026203673482537e-05,1.6066154692103e-05,8.620732832572353e-06,1.0782542671616604e-05
